"id","name","location","source","output","utilization_rate","launch","closed","url",\n
"HAR","Harsprånget","Luleälven","vatten","818","25","1951",,"https://sv.wikipedia.org/wiki/Harspr%C3%A5nget",\n
"LED","Lilla Edet","Göta älv","vatten","39","64","1926",,"https://sv.wikipedia.org/wiki/Lilla_Edets_kraftverk",\n
"KAR","Karlshamnsverket","Karlshamn","olja","335","11","1969",,"https://sv.wikipedia.org/wiki/Karlshamnsverket",\n
"LIL","Lillgrund vindkraftpark","Öresund","vind","110","34","2007",,"https://sv.wikipedia.org/wiki/Lillgrunds_vindkraftpark",\n
"MUN","Munkflohöjden","Jämtland","vind","49","37","2019",,"https://www.gem.wiki/Munkfloh%C3%B6gen_wind_farm",\n
"RIN","Ringhals 1","Väröhalvön","kärnkraft","881","87","1976","2020","https://sv.wikipedia.org/wiki/Ringhals_k%C3%A4rnkraftverk",\n
"OSK","Oskarshamn 3","Simpevarp","kärnkraft","1400","93","1985",,"https://sv.wikipedia.org/wiki/Oskarshamns_k%C3%A4rnkraftverk",\n
